source,target,prob
nghe,nong,0.05745177622743311
nghe,phat,0.0500567755895107
nghe,trien,0.043764413845342805
nghe,so,0.018904481238021232
nghe,tro,0.011502855685357527
nghe,cong,0.010891003791670007
nghe,ho,0.008153112734259598
nghe,nganh,0.007690334905809692
nghe,đuoc,0.0040304459274571915
nghe,đia,0.0033340912029276477
nghe,co,0.0027175028145101855
nghe,tao,0.0026020072863659764
nghe,truyen,0.0019422671486058513
nghe,thong,0.0019350363749163024
nghe,viec,0.0011043093677755953
nghe,tang,0.0009673371396612607
nghe,phi,0.0007639957851220483
la,la,0.15523162926946785
la,nha,0.04668191221903888
la,ong,0.03843110636669474
la,con,0.03773164115444024
la,oi,0.03757089077266339
la,nhe,0.032499315624509056
la,a,0.026039136255191747
la,cua,0.024727453130098897
la,gia,0.021167120958427314
la,luc,0.020811985375252487
la,em,0.019802716096014306
la,co,0.019642768985346396
la,đay,0.017998802105131932
la,me,0.01797767587916532
la,gio,0.016747503975152362
la,cha,0.016660603384071365
la,mai,0.014120173179441746
la,ban,0.013841558177971858
la,bay,0.013691070302363018
la,voi,0.013222250575767154
pogloh,quan,0.14733812126051002
pogloh,nhat,0.11344129630189355
pogloh,đac,0.10094779363281413
pogloh,biet,0.09298992118368488
pogloh,trong,0.0709883782344721
pogloh,đoi,0.03465778968026747
pogloh,đa,0.03409044516530826
pogloh,khien,0.028963035440122676
pogloh,het,0.023638572289580686
pogloh,rat,0.023638572289580686
pogloh,suc,0.023638572289580686
pogloh,toi,0.023638572289580686
pogloh,tuyet,0.023638572289580686
pogloh,chot,0.02363854286672693
pogloh,dep,0.022634018354448275
pogloh,giai,0.0209067343484648
pogloh,ðang,0.01794743188379093
pogloh,venh,0.01786709582495201
pogloh,đo,0.01458923435188488
pogloh,phuong,0.013804213924769425
pom,lam,0.2537543287986711
pom,nguoi,0.03729342029712096
pom,va,0.03112202511182984
pom,đa,0.028112989168541384
pom,cua,0.025645943374982695
pom,cho,0.02554826139645212
pom,ta,0.019588181504068145
pom,con,0.01779267557244537
pom,la,0.017287084939912985
pom,mot,0.016441090238595208
pom,nhung,0.014719611256342583
pom,chung,0.013126907873340761
pom,cac,0.011856655480783023
pom,co,0.011627929311616996
pom,toi,0.011264570810642796
pom,ra,0.011008842091049813
pom,ho,0.010484628369211315
pom,đieu,0.010335382027547973
pom,se,0.010011036137963555
pom,cung,0.009868101872862139
ponhroh,trien,0.31594246480211197
ponhroh,khai,0.300676850833807
ponhroh,hoach,0.11371317069472249
ponhroh,thuc,0.07678770972049255
ponhroh,hoachnam,0.03222951062634109
ponhroh,phap,0.026932098282597346
ponhroh,ke,0.022480729483493403
ponhroh,cuong,0.011946997847588119
ponhroh,ban,0.011070791936117942
ponhroh,giai,0.009871016914207671
ponhroh,dung,0.009801791218363939
ponhroh,hien,0.007315770926611126
ponhroh,tang,0.006251687888703764
ponhroh,đong,0.006163313717286097
ponhroh,hoat,0.005938645445396295
ponhroh,tung,0.0029375248323193597
ponhroh,van,0.0026625950595034124
ponhroh,biet,0.0024803502786394723
ponhroh,đac,0.0024803502786394723
ponhroh,sat,0.0024654099074677264
sonam,nam,0.6028116029065979
sonam,tuoi,0.14712296020148977
sonam,đuoc,0.026201406656580974
sonam,thu,0.012343530652193548
sonam,gia,0.011223159669406376
sonam,thang,0.011144601425051793
sonam,ra,0.009852334661078491
sonam,muoi,0.009103409487623743
sonam,qua,0.008759264293987832
sonam,sap,0.008698081750354905
sonam,tuc,0.00764243756518959
sonam,ong,0.005721347529990215
sonam,con,0.005493738067280536
sonam,va,0.005086041352736461
sonam,len,0.004932222467634738
sonam,mot,0.004507179185790406
sonam,sang,0.0041497623366191574
sonam,trong,0.0035408561370881626
sonam,la,0.0034903278811576556
sonam,khi,0.003483216034806652
thu,thu,0.48757144658130913
thu,phat,0.07382266777833077
thu,hieu,0.06346293647413413
thu,bi,0.033021817756490025
thu,ket,0.02475946912086207
thu,chat,0.020589644478240784
thu,thua,0.019169666202965233
thu,luong,0.01819134406446377
thu,qua,0.01755663177971522
thu,nhap,0.017314226100088415
thu,nang,0.01430489190503846
thu,uoc,0.012027575526070249
thu,trung,0.010663545593135225
thu,can,0.010025170859160746
thu,khat,0.008948813337346734
thu,đia,0.006623750924677473
thu,xay,0.006430759298177817
thu,chuon,0.005491258294679379
thu,suo,0.005440778617214066
thu,thich,0.005221626307419903
yok,lay,0.24357284885988414
yok,qua,0.0989236703607111
yok,bot,0.07336572360772835
yok,cui,0.07005206600233306
yok,dung,0.04854545307773142
yok,tro,0.043704840927617186
yok,nhan,0.043371200039082625
yok,muon,0.0420571620115381
yok,chiu,0.04136328613227478
yok,vay,0.029911607642938796
yok,vot,0.029541221523374586
yok,chop,0.029386046920221582
yok,guong,0.028044375629279993
yok,tha,0.02301506236380465
yok,đi,0.015186887436165006
yok,hai,0.014770825163501389
yok,suat,0.013689707119501952
yok,chup,0.013333702373507193
yok,hoach,0.01313018227929767
yok,que,0.013066511441949914
ne,đung,0.36311044049479096
ne,cho,0.14743356484268577
ne,hay,0.05956326364969459
ne,ðung,0.043834766037242144
ne,nguoi,0.025601881913788992
ne,con,0.013697707630341125
ne,xin,0.013532742888478397
ne,ta,0.012430093775039112
ne,lam,0.011681239748614696
ne,em,0.010649488479090008
ne,anh,0.010627191787441918
ne,noi,0.01049144368658611
ne,nhung,0.009370135766527706
ne,cung,0.00829499575888529
ne,phai,0.007327987446805726
ne,vi,0.007235252395197824
ne,minh,0.0069725170697789475
ne,đe,0.006840197963909147
ne,khong,0.0065312414440368725
ne,voi,0.0063264238190390626
tefgum,lay,0.1678283959080381
tefgum,bien,0.05841734908014352
tefgum,con,0.05591992800164424
tefgum,ta,0.0503531501193135
tefgum,chuoc,0.05015680983142566
tefgum,anh,0.04766107131331147
tefgum,cho,0.033541129693899725
tefgum,mang,0.028639833188528065
tefgum,vay,0.02820518492948657
tefgum,chua,0.02585856855521855
tefgum,ma,0.02470130466212727
tefgum,nguoi,0.02451589333452683
tefgum,chau,0.02365210367897455
